model name: ../saved_model/02_06_2022_05_56_14_MITOR_V2.obj
data: ../data/flu_datasets/2011-2012_flu_normalized.mat
w_from_matlab: False
break_on: True
rho 10
lr for ADMM: 0.8
alpha: 0
beta: 0.001
tol_L: 0.001
tor_r: 1e-10
tol_s: 1e-10
tol_r_s: 10
ADI: 5000
Max_iteration: 1000
2022-06-02 05:56:17,899 : Model Initialized
2022-06-02 06:40:34,494 : ADMM iteration: 81, Max iteration: 3, r-residual: 5.468727E-3, s-residual: 2.419949E-3, rho: 0.3125, mze: 0.1323096603155136, mae: 0.2366071492433548, time taken 21.077218599999924
2022-06-02 06:40:55,193 : ADMM iteration: 82, Max iteration: 3, r-residual: 6.397083E-3, s-residual: 2.410934E-3, rho: 0.3125, mze: 0.1323096603155136, mae: 0.2366071492433548, time taken 20.636485900000025
2022-06-02 06:41:15,721 : ADMM iteration: 83, Max iteration: 3, r-residual: 6.172569E-3, s-residual: 2.402068E-3, rho: 0.3125, mze: 0.13226059079170227, mae: 0.23655807971954346, time taken 20.47154330000012
2022-06-02 06:41:36,496 : ADMM iteration: 84, Max iteration: 3, r-residual: 4.909030E-3, s-residual: 2.393343E-3, rho: 0.3125, mze: 0.13226059079170227, mae: 0.23655807971954346, time taken 20.729300599999988
2022-06-02 06:41:56,897 : ADMM iteration: 85, Max iteration: 3, r-residual: 2.556515E-3, s-residual: 2.384764E-3, rho: 0.3125, mze: 0.13226059079170227, mae: 0.23655807971954346, time taken 20.327319499999703
2022-06-02 06:42:17,700 : ADMM iteration: 86, Max iteration: 3, r-residual: 2.556274E-3, s-residual: 2.376323E-3, rho: 0.3125, mze: 0.13226059079170227, mae: 0.23655807971954346, time taken 20.755365499999698
2022-06-02 06:42:38,262 : ADMM iteration: 87, Max iteration: 3, r-residual: 2.579326E-3, s-residual: 2.368023E-3, rho: 0.3125, mze: 0.13226059079170227, mae: 0.23655807971954346, time taken 20.507462799999757
2022-06-02 06:42:58,851 : ADMM iteration: 88, Max iteration: 3, r-residual: 3.313128E-3, s-residual: 2.359855E-3, rho: 0.3125, mze: 0.1323096603155136, mae: 0.2366071492433548, time taken 20.491423100000247
2022-06-02 06:43:19,650 : ADMM iteration: 89, Max iteration: 3, r-residual: 3.059054E-3, s-residual: 2.351823E-3, rho: 0.3125, mze: 0.1323096603155136, mae: 0.2366071492433548, time taken 20.745959800000037
2022-06-02 06:43:40,184 : ADMM iteration: 90, Max iteration: 3, r-residual: 2.580991E-3, s-residual: 2.343923E-3, rho: 0.3125, mze: 0.13221153616905212, mae: 0.2365090250968933, time taken 20.48003609999978
2022-06-02 06:44:00,867 : ADMM iteration: 91, Max iteration: 3, r-residual: 1.649875E-3, s-residual: 2.336151E-3, rho: 0.3125, mze: 0.13221153616905212, mae: 0.2365090250968933, time taken 20.628190800000084
2022-06-02 06:44:21,713 : ADMM iteration: 92, Max iteration: 3, r-residual: 2.270680E-3, s-residual: 2.328507E-3, rho: 0.3125, mze: 0.13221153616905212, mae: 0.2365090250968933, time taken 20.782239899999695
2022-06-02 06:44:42,185 : ADMM iteration: 93, Max iteration: 3, r-residual: 8.180019E-3, s-residual: 2.320987E-3, rho: 0.3125, mze: 0.13221153616905212, mae: 0.2365090250968933, time taken 20.407298399999945
2022-06-02 06:45:03,148 : ADMM iteration: 94, Max iteration: 3, r-residual: 1.475322E-2, s-residual: 2.313593E-3, rho: 0.3125, mze: 0.13211342692375183, mae: 0.23631279170513153, time taken 20.92861219999986
2022-06-02 06:45:23,948 : ADMM iteration: 95, Max iteration: 3, r-residual: 4.477647E-3, s-residual: 2.306319E-3, rho: 0.3125, mze: 0.13211342692375183, mae: 0.23631279170513153, time taken 20.745065500000237
